Category,Code,Description
Diagnostic,D0120,Periodic Oral Evaluation
Diagnostic,D0140,Limited Oral Eval Prob Focused
Diagnostic,D0145,"Oral Eval Pt Under 3 Yrs, Counsel Primary"
Diagnostic,D0150,Compsve Oral Eval- New/Est Pat
Diagnostic,D0160,Detailed & Ext Oral Eval By Rp
Diagnostic,D0170,Re-Evaluation- Limited
Diagnostic,D0171,Re-Evaluation - Post-Operative Office Visit
Diagnostic,D0180,Compsve Perio Eval New/Est Pat
Diagnostic,D0190,Screening Of A Patient
Diagnostic,D0191,Assessment Of A Patient
Diagnostic,D0210,Intraoral - Complete Series Of Radiographic Images
Diagnostic,D0220,Intraoral - Peripical First Radiographic Image
Diagnostic,D0230,Intraoral - Peripical Each Addl Radiographic Image
Diagnostic,D0240,Intraoral - Occlusal Radiographic Image
Diagnostic,D0250,Extraoral - First Radiographic Image
Diagnostic,D0251,Extra-oral Posterior Dental Radiographic Image
Diagnostic,D0260,Extraoral - Each Addnl Radiographic Image
Diagnostic,D0270,Bitewing - Single Radiographic Image
Diagnostic,D0272,Bitewings - Two Radiographic Images
Diagnostic,D0273,Bitewings - Three Radiographic Images
Diagnostic,D0274,Bitewings - Four Radiographic Images
Diagnostic,D0277,Vertical Bitewings - 7-8 Radiographic Images
Diagnostic,D0290,Posterior-Anterior Survey Radiographic Images
Diagnostic,D0310,Sialography
Diagnostic,D0320,TMJ Arthrogram W/Injection
Diagnostic,D0321,"Other TMJ Radiographic Images, By Rpt"
Diagnostic,D0322,Tomographic Survey
Diagnostic,D0330,Panoramic Radiographic Image
Diagnostic,D0340,Cephalometric Radiographic Image
Diagnostic,D0350,2D Oral/Facial Photographic Image-Intraoral/Extrao
Diagnostic,D0351,3D Photographic Image
Diagnostic,D0364,Cone Beam CT Limited View - Less Than Whole Jaw
Diagnostic,D0365,Cone Beam CT Full Arch View - Mandible
Diagnostic,D0366,Cone Beam CT Full Arch View - Maxilla W/wo Cranium
Diagnostic,D0367,Cone Beam CT Full 2 Jaw View W/wo Cranium
Diagnostic,D0368,"Cone Beam CT For TMJ Series, Including 2+ Exposure"
Diagnostic,D0369,Maxillofacial MRI Capture/Interpretation
Diagnostic,D0370,Maxillofacial Ultrasound Capture/Interpretation
Diagnostic,D0371,Sialoendoscopy Capture/Interpretation
Diagnostic,D0380,Cone Beam CT Lmtd View Capture - Less Than Whl Jaw
Diagnostic,D0381,Cone Beam CT Capture Full Arch View - Mandible
Diagnostic,D0382,Cone Beam CT Capture Full Arch View-Maxilla W/woCr
Diagnostic,D0383,Cone Beam CT Capture Full 2 Jaw View W/wo Cranium
Diagnostic,D0384,"Cone Beam CT Capture TMJ Series, Incl 2+ Exposures"
Diagnostic,D0385,Maxillofacial MRI Image Capture
Diagnostic,D0386,Maxillofacial Ultrasound Image Capture
Diagnostic,D0391,"Interpretation Diag Image By Practitioner, By Rpt"
Diagnostic,D0393,Treatment Simulation Using 3D Image Volume
Diagnostic,D0394,Digital Subtraction Of Two+ Images - Same Modality
Diagnostic,D0395,Fusion Of 2 Or More 3D Image Volumes - 1+modalitie
Diagnostic,D0415,Bacteriologic Studies
Diagnostic,D0416,Viral Culture
Diagnostic,D0417,Collection/Prep Of Saliva Sample For Lab Diagnosis
Diagnostic,D0418,Analysis Of Saliva Sample
Diagnostic,D0421,Genetic Test For Suscept
Diagnostic,D0425,Caries Susceptibility Tests
Diagnostic,D0431,Adjunctive Pre-diagnostic Test
Diagnostic,D0460,Pulp Vitality Tests
Diagnostic,D0461,Testing For Cracked Tooth
Diagnostic,D0470,Diagnostic Casts
Diagnostic,D0472,Accession - Gross
Diagnostic,D0473,Accession-Gross/Mcro
Diagnostic,D0474,Accession-Gross W/Margins
Diagnostic,D0475,Decalcification Procedure
Diagnostic,D0476,Special Stains For Microorgani
Diagnostic,D0477,"Special Stains, Not For Microo"
Diagnostic,D0478,Immunohistochemical Stains
Diagnostic,D0479,"Tissue In-situ Hybridization,"
Diagnostic,D0480,Cytologic Smears
Diagnostic,D0481,Electron Microscopy
Diagnostic,D0482,Direct Immunofluorescence
Diagnostic,D0483,Indirect Immunofluorescence
Diagnostic,D0484,Consultation On Slides
Diagnostic,D0485,"Consultation, Including Prep"
Diagnostic,D0486,Accession Of Transepithelial Cytologic Sample
Diagnostic,D0502,Other Oral Path By Rp
Diagnostic,D0601,Caries Risk Assessment/Documentation - Low Risk
Diagnostic,D0602,Caries Risk Assessment/Documentation - Moderate Ri
Diagnostic,D0603,Caries Risk Assessment/Documentation - High Risk
Diagnostic,D0999,Unspec Diagnostic By Rp
Restorative,D2140,Amalgam One Surface
Restorative,D2150,Amalgam Two Surface
Restorative,D2160,Amalgam Three Surfaces
Restorative,D2161,Amalgam Four/More Surfaces
Restorative,D2330,Resin Composite One Surface Anterior
Restorative,D2331,Resin Composite Two Surfaces Anterior
Restorative,D2332,Resin Composite Three Surfaces Anterior
Restorative,D2335,Resin Composite Four/More Surf Anterior
Restorative,D2390,Resin Composite Crown Anterior
Restorative,D2391,Resin Composite One Surface Posterior
Restorative,D2392,Resin Composite Two Surfaces Posterior
Restorative,D2393,Resin Composite Three Surfaces Posterior
Restorative,D2394,Resin Composite Four/More Surfaces Posterior
Restorative,D2410,Gold Foil - One Surface
Restorative,D2420,Gold Foil - Two Surfaces
Restorative,D2430,Gold Foil - Three Surfaces
Restorative,D2510,Inlay Metallic One Surface
Restorative,D2520,Inlay Metallic Two Surfaces
Restorative,D2530,Inlay Metallic Three Or More Surfaces
Restorative,D2542,Onlay Metallic Two Surfaces
Restorative,D2543,Onlay Metallic Three Surface
Restorative,D2544,Onlay Metallic Four Or More
Restorative,D2610,Inlay Porcelain/Ceramic One Surface
Restorative,D2620,Inlay Porcelain/Ceramic Two Surfaces
Restorative,D2630,Inlay Porcelain/Ceramic Three+ Surfaces
Restorative,D2642,Onlay Porcelain/Ceramic Two Surfaces
Restorative,D2643,Onlay Porcelain/Ceramic Three Surfaces
Restorative,D2644,Onlay Porcelain/Ceramic Four+ Surfaces
Restorative,D2650,Inlay Composite/Resin One Surface
Restorative,D2651,Inlay Composite/Resin Two Surfaces
Restorative,D2652,Inlay Comp/Resin Three+ Surfaces
Restorative,D2662,Onlay Composite/Resin Two Surfaces
Restorative,D2663,Onlay Comp/Resin Three Surfaces
Restorative,D2664,Onlay Comp/Resin Four+ Surfaces
Restorative,D2710,Crown - Resin Composite Indirect
Restorative,D2710A,Crown - Resin Composite Indirect
Restorative,D2712,Crown - 3/4 Resin-based Composite
Restorative,D2712A,Crown - 3/4 Resin-based Composite
Restorative,D2720,Crown Resin With High Noble Metal
Restorative,D2720A,Crown Resin With High Noble Metal
Restorative,D2721,Crown Resin W/ Predom Base Metal
Restorative,D2721A,Crown Resin W/ Predom Base Metal
Restorative,D2722,Crown Resin W/ Noble Metal
Restorative,D2722A,Crown Resin W/ Noble Metal
Restorative,D2740,Crown Porcelain/Ceramic Substrate
Restorative,D2740A,Crown Porcelain/Ceramic Substrate
Restorative,D2750,Crown Porcelain Fused High Noble Metal
Restorative,D2750A,Crown Porcelain Fused High Noble Metal
Restorative,D2751,Crown Porcelain Fused Base Metal
Restorative,D2751A,Crown Porcelain Fused Base Metal
Restorative,D2752,Crown Porcelain Fused Noble Metal
Restorative,D2752A,Crown Porcelain Fused Noble Metal
Restorative,D2780,Crown 3/4 Cast High Noble Metal
Restorative,D2781,Crown 3/4 Cast Pred Base Metl
Restorative,D2782,Crown 3/4 Cast Noble Metal
Restorative,D2783,Crown 3/4 Porcelain/Ceramic
Restorative,D2783A,Crown 3/4 Porcelain/Ceramic
Restorative,D2790,Crown Full Cast High Noble Metal
Restorative,D2791,Crown Full Cast Base Predominately Metal
Restorative,D2792,Crown Full Cast Noble Metal
Restorative,D2794,Crown - Titanium
Restorative,D2799,Provisional Crown - Further TX/Completion Necessar
Restorative,D2910,Recement Or Rebond Inlay/Onlay/Veneer/Partial Cvrg
Restorative,D2915,Recement Or Rebond Indirect Fab Or Prefab Post/Cor
Restorative,D2920,Recement Or Rebond Crown
Restorative,D2921,"Reattachment Of Tooth Fragment, Incisal Edge/Cusp"
Restorative,D2929,Prefabricated Porcelain/Ceramic Crown - Primary
Restorative,D2930,Prefabricated SS Crown Primary Tooth
Restorative,D2931,Prefabricated SS Crown Perm Tooth
Restorative,D2932,Prefabricated Resin Crown
Restorative,D2933,Prefabricated SS Crown Resin Window
Restorative,D2934,Prefabricated SS Crown - Esthetic Coat (Primary)
Restorative,D2940,Protective Restoration
Restorative,D2941,Interim Therapeutic Restoration - Primary Dentitio
Restorative,D2949,Restorative Foundation For An Indirect Restoration
Restorative,D2950,"Core Buildup, Including Any Pins When Required"
Restorative,D2951,Pin Retention Per Tooth
Restorative,D2952,"Post & Core (Addition To Crown), Indirect Fab"
Restorative,D2953,"Each Added Post, Indirect Fab - Same Tooth"
Restorative,D2954,Prefab Post & Core (Addition To Crown)
Restorative,D2955,Post Removal
Restorative,D2957,Each Added Prefab Pst Same Tth
Restorative,D2960,Labial Veneer Resin Laminate Chair
Restorative,D2961,Labial Veneer Resin Laminate Lab
Restorative,D2962,Labial Veneer Porcelain Laminate Lab
Restorative,D2970,Temp Crown Fractured Tooth
Restorative,D2971,Addl Procs New Crown
Restorative,D2975,Coping
Restorative,D2980,Crown Repair - Restorative Material Failure
Restorative,D2981,Inlay Repair - Restorative Material Failure
Restorative,D2982,Onlay Repair - Restorative Material Failure
Restorative,D2983,Veneer Repair - Restorative Material Failure
Restorative,D2990,Resin Infiltration Incipient Smooth Surface Lesion
Restorative,D2999,Unspec Rest Proc/Rpt
Periodontics,D4210,Gingect/Gingipsty 4+T/Per Quad
Periodontics,D4211,Ginvect/Gingipsty 1-3t Pr Quad
Periodontics,D4212,"Gingect/Gingipsty For Restorative Proc, Per Tooth"
Periodontics,D4230,Anatomical Crown Exposure 4+T/Per Quad
Periodontics,D4231,Anatomical Crown Exposure 1-3t Per Quad
Periodontics,D4240,Gingiv Flap Rtpln 4+T/Per Quad
Periodontics,D4241,Gingi Flap Rtpln 1-3t Pr Quad
Periodontics,D4245,Apically Position Flap
Periodontics,D4249,Clinical Crown Lengthening Hard Tis
Periodontics,D4260,Osseous Surgery 4+T/Per Quad
Periodontics,D4261,Osseous Surgery 1-3t Pr Quad
Periodontics,D4263,Bone Replacement Graft /1st
Periodontics,D4264,Bone Replacement Graft /Addl
Periodontics,D4265,Bio Materials Aid Tissue Regen
Periodontics,D4266,Guided Tissue Regen Resorbable
Periodontics,D4267,Guided Tissue Regen Nonresorba
Periodontics,D4268,Surgical Revise Proc Per Tooth
Periodontics,D4270,Pedicle Soft Tissue Graft
Periodontics,D4273,Subepithelial Conn Tiss Graft
Periodontics,D4274,Distal Or Proximal Wedge Proced
Periodontics,D4275,Soft Tissue Allograft
Periodontics,D4276,Connec Tiss & Doub Pedic Graft
Periodontics,D4277,Free Soft Tissue Graft - First Tooth In Graft
Periodontics,D4278,Free Soft Tissue Graft - Addl Tooth In Graft
Periodontics,D4321,Provsnl Splinting Extracoronal
Periodontics,D4322,Splint - Intracoronal; Natural Teeth Or Prosthetic
Periodontics,D4323,Splint – Extracoronal; Natural Teeth Or Prosthetic
Periodontics,D4341,Perio Sclg Rt Pln SRP 4+T/Per Quad
Periodontics,D4342,Perio Sclg Rt Pln SRP 1-3t Pr Quad
Periodontics,D4346,Scaling In Presence Of Generalized Moderate Or Sev
Periodontics,D4355,Full Mouth Debridement
Periodontics,D4381,Localized Delivery Antimicrobial Agents Controlled
Periodontics,D4910,Periodontal Maintenance
Periodontics,D4920,Unscheduled Dressing Change
Periodontics,D4921,Gingival Irrigation - Per Quadrant
Periodontics,D4999,Unspecified Perio Pr By Rp
Periodontics,D4999A,Periodontal Charting
Maxillo Prosth,D5911,Facial Moulage (Sectional)
Maxillo Prosth,D5912,Facial Moulage (Complete)
Maxillo Prosth,D5913,Nasal Prosthesis
Maxillo Prosth,D5914,Auricular Prosthesis
Maxillo Prosth,D5915,Orbital Prosthesis
Maxillo Prosth,D5916,Ocular Prosthesis
Maxillo Prosth,D5919,Facial Prosthesis
Maxillo Prosth,D5922,Nasal Septal Prosthesis
Maxillo Prosth,D5923,Ocular Prosthesis Interim
Maxillo Prosth,D5924,Cranial Prosthesis
Maxillo Prosth,D5925,Facial Augment.Implant Prosth
Maxillo Prosth,D5926,Nasal Prosthesis Replacement
Maxillo Prosth,D5927,Auricular Prosth Replacement
Maxillo Prosth,D5928,Orbital Prosthesis Replacement
Maxillo Prosth,D5929,Facial Prosthesis Replacement
Maxillo Prosth,D5931,Obturator Prosth Surgical
Maxillo Prosth,D5932,Obturator Prosth Definitive
Maxillo Prosth,D5933,Obturator Prosth Modification
Maxillo Prosth,D5934,Mand.Resect Prosth W/ Gd Flg
Maxillo Prosth,D5935,Mand.Resect Prosth W/O Gd Flg
Maxillo Prosth,D5936,Obturator Prosthesis Interim
Maxillo Prosth,D5937,Trismus Appliance-Not Tmd Trt
Maxillo Prosth,D5951,Feeding Aid
Maxillo Prosth,D5952,Speech Aid Prosth - Pediatric
Maxillo Prosth,D5953,Speech Aid Prosth - Adult
Maxillo Prosth,D5954,Palatal Augmentation Prosth
Maxillo Prosth,D5955,Palatal Lift Prosth - Definitive
Maxillo Prosth,D5958,Palatal Lift Prosth - Interim
Maxillo Prosth,D5959,Palatal Lift Prosth - Modification
Maxillo Prosth,D5960,Speech Aid Prosth - Modification
Maxillo Prosth,D5982,Surgical Stent
Maxillo Prosth,D5983,Radiation Carrier
Maxillo Prosth,D5984,Radiation Shield
Maxillo Prosth,D5985,Radiation Cone Locator
Maxillo Prosth,D5986,Flouride Gel Carrier
Maxillo Prosth,D5987,Commissure Splint
Maxillo Prosth,D5988,Surgical Splint
Maxillo Prosth,D5991,Vesiculobullous Disease Medicament Carrier
Maxillo Prosth,D5992,"Adjust Maxillofacial Prosthetic Appliance, By Rpt"
Maxillo Prosth,D5993,"Maint/Cleaning Of Maxillofacial Prosthesis, By Rpt"
Maxillo Prosth,D5994,Periodontal Medicament Carrier W/Periphrl Seal-Lab
Maxillo Prosth,D5999,Unspec Maxiofac Prosth By Rpt
"Prosth, Fixed",D6205,Pontic - Indirect Resin Based Composite
"Prosth, Fixed",D6210,Pontic Cast High Noble Metal
"Prosth, Fixed",D6211,Pontic Cast Base Metal
"Prosth, Fixed",D6212,Pontic Cast Noble Metal
"Prosth, Fixed",D6214,Pontic - Titanium
"Prosth, Fixed",D6240,Pontic Porcln Fused Hi Nobl Mt
"Prosth, Fixed",D6241,Pontic Porcln Fused Base Metal
"Prosth, Fixed",D6242,Pontic Prcln Fused Noble Metal
"Prosth, Fixed",D6245,Pontic Porcelain/Ceramic
"Prosth, Fixed",D6250,Pontic Resin W/High Noble Meta
"Prosth, Fixed",D6251,Pontic Resin W/Predom Base Met
"Prosth, Fixed",D6252,Pontic Resin W/Noble Metal
"Prosth, Fixed",D6253,Provisional Pontic - Further TX/Completion Necessa
"Prosth, Fixed",D6545,Retainer FPD - Cast/Mtl Resin
"Prosth, Fixed",D6548,Retainer FPD - Porcelain/Ceramic
"Prosth, Fixed",D6549,Resin Retainer - Resin Bonded Fixed Prosthesis
"Prosth, Fixed",D6600,Inlay - FPD - Porcelain/Ceramic 2 Surf
"Prosth, Fixed",D6601,Inlay - FPD - Porc/Ceram Three+ Surf
"Prosth, Fixed",D6602,Inlay - FPD - Cast High Noble 2 Surfac
"Prosth, Fixed",D6603,Inlay - FPD - Cast High Noble 3+ Surfa
"Prosth, Fixed",D6604,Inlay - FPD - Cast Predom Base 2 Surfa
"Prosth, Fixed",D6605,Inlay - FPD - Cast Predom Base 3+ Surf
"Prosth, Fixed",D6606,Inlay - FPD - Cast Noble Metal 2 Surfa - FPD
"Prosth, Fixed",D6607,Inlay - FPD - Cast Noble Metal 3+ Surf
"Prosth, Fixed",D6608,Onlay - FPD - Porc/Ceram 2 Surfaces
"Prosth, Fixed",D6609,Onlay - FPD - Porc/Ceram 3+ Surfaces
"Prosth, Fixed",D6610,Onlay - FPD - Cast High Noble 2 Surfac
"Prosth, Fixed",D6611,Onlay - FPD - Cast High Noble 3+ Surfa
"Prosth, Fixed",D6612,Onlay - FPD - Cast Predom Base 2 Surf
"Prosth, Fixed",D6613,Onlay - FPD - Cast Predom Base 3+ Surf
"Prosth, Fixed",D6614,Onlay - FPD - Cast Noble Metal 2 Surfa
"Prosth, Fixed",D6615,Onlay - FPD - Cast Noble Metal 3+ Surf
"Prosth, Fixed",D6624,Inlay - FPD - Titanium
"Prosth, Fixed",D6634,Onlay - FPD - Titanium
"Prosth, Fixed",D6710,Crown - FPD - Indirect Resin Based Composite
"Prosth, Fixed",D6720,Crown - FPD - Resin W/High Noble Metal
"Prosth, Fixed",D6721,Crown - FPD - Resin W/ Predom Base Metal
"Prosth, Fixed",D6722,Crown - FPD - Resin W/Noble Metal
"Prosth, Fixed",D6740,Crown - FPD - Porcelain/Ceramic
"Prosth, Fixed",D6750,Crown - FPD - Porcln Fused Hi Noble Metal
"Prosth, Fixed",D6751,Crown - FPD - Porcln Fused Prd Base Metal
"Prosth, Fixed",D6752,Crown - FPD - Porcln Fused Noble Metal
"Prosth, Fixed",D6780,Crown - FPD - 3/4 Cst High Noble Metal
"Prosth, Fixed",D6781,Crown - FPD - 3/4 Cst Pred Base Metal
"Prosth, Fixed",D6782,Crown - FPD - 3/4 Cst Noble Metal
"Prosth, Fixed",D6783,Crown - FPD - 3/4 Porcln/Ceramic
"Prosth, Fixed",D6790,Crown - FPD - Full Cast High Noble Metal
"Prosth, Fixed",D6791,Crown - FPD - Full Cast Prd Base Metal
"Prosth, Fixed",D6792,Crown - FPD - Full Cast Noble Metal
"Prosth, Fixed",D6793,Crown - FPD - Provisional Retainer - Further TX/Co
"Prosth, Fixed",D6794,Crown - FPD - Titanium
"Prosth, Fixed",D6920,Connector Bar
"Prosth, Fixed",D6930,Recement Or Rebond Fixed Partial Denture
"Prosth, Fixed",D6940,Stress Breaker
"Prosth, Fixed",D6950,Precision Attachment
"Prosth, Fixed",D6980,Fixed Partial Denture Repair - Further TX/Completi
"Prosth, Fixed",D6985,Pediatric Partial Denture Fixd
"Prosth, Fixed",D6999,Unspeci Fxd Prosth Proc By Rpt
Orthodontics,D8010,Limited Primary Dentition
Orthodontics,D8020,Limited Transitional Dentition
Orthodontics,D8030,Limited Adolescent Dentition
Orthodontics,D8040,Limited Adult Dentition
Orthodontics,D8050,Interceptive Primary Dentition
Orthodontics,D8060,Interceptive Transition Dentit
Orthodontics,D8070,Comprehensive Trans Dentition
Orthodontics,D8080,Comprehensive Adoles Dentition
Orthodontics,D8090,Comprehensive Ortho Treatment
Orthodontics,D8210,Removable Appliance Therapy
Orthodontics,D8220,Fixed Appliance Therapy
Orthodontics,D8660,PreOrtho Treatment Exam - Monitor Grwth/Developmen
Orthodontics,D8670,Periodic Orthodontic Treatment Visit
Orthodontics,D8670A,Periodic Ortho Visit
Orthodontics,D8680,Ortho Retention
Orthodontics,D8690,Ortho Treatment
Orthodontics,D8691,Repair Ortho Applian
Orthodontics,D8696,Repair Of Orthodontic Appliance – Maxillary
Orthodontics,D8697,Repair Of Orthodontic Appliance – Mandibular
Orthodontics,D8698,"Recement Or Rebond Fixed Retainer, Maxillary"
Orthodontics,D8699,"Recement Or Rebond Fixed Retainer, Mandibular"
Orthodontics,D8701,Re-cement Fixed Retainer – Maxillary
Orthodontics,D8702,Repair Of Fixed Retainer - Mandibular
Orthodontics,D8703,Replacement Of Lost Or Broken Retainer – Maxillary
Orthodontics,D8704,Replacement Of Lost Or Broken Retainer – Mandibula
Orthodontics,D8999,Unspecified Ortho Procedure
Orthodontics,D8999A,Initial Banding/Bonding
Orthodontics,D8999B,Initial Records
Orthodontics,D8999C,Debanding
Orthodontics,D8999D,Repair - Band/Bracket/Wire N/C
Orthodontics,D8999E,Repair Bracket
Orthodontics,D8999F,Repair Wire
Orthodontics,D8999G,Repair Band
Orthodontics,D8999H,Repair Retainer
Orthodontics,D8999I,Separators
Orthodontics,D8999J,Study Models
Orthodontics,D8999K,Retainer Check
Orthodontics,D8999L,Retainer Check N/C
Orthodontics,D8999M,Headgear
Other,Z00000,Broken Appointment
Other,Z0003,Check Payment
Other,Z0009,Ortho Follow Up
Other,Z0012,Visa Card Payment
Other,Z0050,Credit Adjustment To Productions
Other,Z0062,Broken Appointment Fee
Other,Z0090,Capitation Monthly Charge And Payment
Other,Z0090.0,MISSED APPOINTMENT
Other,Z0100,New Patient
Other,Z0101,Desetti Patient
Other,Z0102,Prevident
Other,Z0102.0,Flouride Foam
Other,Z0104,Old Patient
Other,Z0105,Rodadent Toothbrush
Other,Z0105.0,Sonicare Dual Pack
Other,Z0106,Scope
Other,Z0107,Rodadent Brushes
Other,Z0107.0,Floss Holder
Other,Z0108,Peridex
Other,Z0108.1,Periogard
Other,Z0109,Dyclone
Other,Z0110,Initial Examination
Other,Z0120.0,Periodic Oral Exam
Other,Z0125,Post-Op Check
Other,Z0130,Emergency Exam
Other,Z1101,In-Office Milling
Other,Z1111,2nd Prophy
Other,Z11111,Disappoint
Other,Z1201,Prophy & Fluoride-child
Other,Z1203,Flouride Treatment (Trays)
Other,Z1204,Adult Flouride (Trays)
Other,Z1205,Prophy & Fluoride-adult
Other,Z1234,LAB FEES
Other,Z1350,Repair Sealant
Other,Z1500,Insert Space Maintainer
Other,Z19999,Nothing
Other,Z2100,Smooth Tooth
Other,Z2110,One Surface Primary
Other,Z2120,"Amalgam Two Surface, Primary"
Other,Z2130,"Amalgam, Three Surface Primary"
Other,Z2131,Amalgam 4 Surf Primary
Other,Z2151,Repair Amalgam
Other,Z2162,Five Surface Amalgam Filling
Other,Z2200,Desensitizing
Other,Z2310,Repair Composite
Other,Z2320,Acid Etch
Other,Z2321,Enamoplasty
Other,Z2330.1,Bonding And Reconturing Per Tooth
Other,Z2333,Repair Composite
Other,Z2334,Composite Splint
Other,Z2336,Resin Strip-crown
Other,Z2337,Full Resin Build-Up Of Tooth
Other,Z2380,"1 Surface Posterior Composite, Primary"
Other,Z2381,"2 Surface Posterior Composite, Primary"
Other,Z2382,"3 Surface Posterior Composite, Primary"
Other,Z2385,Composite 1 Sur Post
Other,Z2386,Composite 2 Sur Post
Other,Z2387,Composite 3 Sur Post
Other,Z2388,Composite 4 Surface
Other,Z2540,Onlay Gold
Other,Z2700,Redo Crown
Other,Z2752.0,Crown Insert
Other,Z2752.01,Crown Insert
Other,Z2753,Coping
Other,Z2754,Temp Crown No Imp
Other,Z2810,Crown-34 Cast Gold
Other,Z2892,Recement Post & Core
Other,Z2900,Loose Crown
Other,Z2922,Recement Temporary Crown
Other,Z2923,Recement Temporary Bridge
Other,Z2971,Provisional Bridge Lab Process
Other,Z3311,Root Canal Fill
Other,Z3960,Whitening
Other,Z3960.0,Insert Splints For Bleaching
Other,Z3961,Bleaching Replacement-DAY-WHITE
Other,Z3961.0,Bleaching Replacement- NITE WHITE
Other,Z3962,Splint Replacements For Bleaching
Other,Z4050,Perio Charting
Other,Z4110,Perio Charting
Other,Z4220,Gingival Curettage
Other,Z4283,Autogenous Connective Tissue Graft Procedure (incl
Other,Z4285,Non-autogenous Connective Tissue Graft Procedure (
Other,Z4340,Perio. Scaling Entire Mouth
Other,Z4345,Perio Scaling
Other,Z4361,OCCLUSAL GUARD INSERT
Other,Z4444,Whitening Tray Go Sample
Other,Z4998,Gum Desensitization
Other,Z5000,Denture Try In
Other,Z5000.1,Lab Fees
Other,Z5001,Denture Insert
Other,Z5002,Occlusal Rims
Other,Z5003,Bite Registration
Other,Z5010,Wax Try In
Other,Z5010.1,Wax Try In
Other,Z5100,Implant Denture
Other,Z5101,Implant Denture
Other,Z5200,Frame Try-in
Other,Z5201,Partial Insert
Other,Z5210,Partial Try In
Other,Z5215,Immediate Upper Partial Denture
Other,Z5216,Immediate Lower Partial Denture
Other,Z5223,Immediate Maxillary Partial Denture – Cast Metal F
Other,Z5280,Removable Lower Unilateral Partial
Other,Z5282,Removable Unilateral Partial Denture – One Piece C
Other,Z5310,Teeth And Clasps Extra Per Th.
Other,Z5420,Adjust Partial Denture
Other,Z5512,"Repair Broken Complete Denture Base, Maxillary"
Other,Z5555,GO Whitening Kits
Other,Z5611,"Repair Resin Partial Denture Base, Mandibular"
Other,Z5612,"Repair Resin Partial Denture Base, Maxillary"
Other,Z5622,"Repair Cast Partial Framework, Maxillary"
Other,Z5661,Add Mesh Wire
Other,Z5662,Add Flange To Denture
Other,Z5700,Denture Cleaner
Other,Z5701,Laboratory Denture Cleaning
Other,Z5749,Soft Reline See 5750
Other,Z5860,Overdenture Complete
Other,Z5982.0,Insert Stent
Other,Z5998,Denture Adjustment
Other,Z6000,Impressions
Other,Z6048,Insert Implant
Other,Z6049,Implant Try In
Other,Z6053,"ImplantAbutment Sup Remov Dent, Complet"
Other,Z6078,ABUT SUPPORTED FULL DENTURE
Other,Z6200,Try In Bridge Or Crown
Other,Z6200.01,Try-in Crown Or Bridge
Other,Z6200.1,Bridge Insert
Other,Z6200.10,Bridge Insert
Other,Z6544,Onlay Metallic 4 Or More Surfaces
Other,Z6545,Retainer - Cast Metal For Resin Bonded Fixed Prost
Other,Z6640,Resect Bridge
Other,Z6641,Repair Or Replace Broken Veneer-chairsid
Other,Z6820,Marilyn Bridge Pontic Tooth
Other,Z6931,Remove Bridge
Other,Z6970,Cast Post And Core - Bridge Retainer
Other,Z6972,Pre-formed Post & Core --bridge Retainer
Other,Z6973,Core Build-Up For Retainer Incl And Pin
Other,Z6975,Coping-metal
Other,Z6981,Bridge Repair-in Office
Other,Z6990,Insert Fixed Bridge
Other,Z7100,Suture Removal
Other,Z7110,Extraction Single Tooth
Other,Z7120,Extraction-additional
Other,Z7130,Root Removal-exposed Roots
Other,Z7425,Excision Pericoronal Gingiva
Other,Z7431,Excision Of Benign Tumor>1.25cm.
Other,Z7777,"Proph, Exam, Bitewing X-rays"
Other,Z7779,Denture Recall
Other,Z89000,Removal Of Braces
Other,Z9000,Nitrous
Other,Z9100,Tooth Ache
Other,Z9300,Re Evaluate
Other,Z9320,Consultation-second Opinion
Other,Z9700,Chipped Tooth
Other,Z9800,Broken Tooth Or Filling
Other,Z9801,Cavity
Other,Z9802,Lost Fill
Other,Z9940.0,Sports Mouth Guard
Other,Z9943,Occlusal Guard Adjustment
Other,Z9988,Infection Control
Other,Z9996,Teledentistry – Asynchronous; Information Stored A
Other,Z9997,Broken Appointment
Other,Z9997.1,"Exam,pr,health America"
Other,Z9998,ImmediateMaxillary Partial Denture
Other,z9999,Invalid Procedure
Other,ZCA001,"Called Patient, Left Message"
Other,ZCA002,"Called Patient, Made Appointment"
Other,ZCA003,"Called Patient, No Answer"
Other,ZCA005,"Called Patient, Not Ready"
Other,ZCA006,"Called Patient, Disconnected"
Other,ZCA008,"Called Patient, Scheduled Other Office"
Other,ZCA009,"Called Patient, Coordinated Appointment"
Other,ZCA010,"Called Patient, Not Interested"
Other,ZCA020,Patient Contact
Other,ZCA021,Patient No Contact
Other,ZCA030,Referral To Specialist
Other,ZCC001,Treatment Complete
Other,ZCC002,Account Audited
Other,ZCC003,Request Refund
Other,ZCC004,Third Party Finance Denied
Other,ZCC005,Third Party Finance Approved
Other,ZCC006,Insurance Roll Over
Other,ZCC007,Internal Finance
Other,ZD0001,Redo Amalgam/Composite
Other,ZD0002,Redo Crown/Bridge
Other,ZD0003,Redo Denture/Partial
Other,ZD0004,Redo Root Canal
Other,ZD0005,Start Root Canal Treatment- Not Pulp Debridement
Other,ZD0100,Deliver Crown
Other,ZD0101,Deliver Bridge
Other,ZD0102,Deliver Partial - Upper
Other,ZD0103,Deliver Partial - Lower
Other,ZD0104,Deliver Denture - Upper
Other,ZD0105,Deliver Denture - Lower
